property_id,listing_id,agent_id,location_id,property_type,bedrooms,bathrooms,square_feet,lot_size_sqft,year_built,listing_price,list_date,status,sold_price,sold_date,days_on_market,hoa_fee,garage_spaces,has_pool,has_basement,created_at,updated_at
PT0210706,LST0210706,AG00772,LOC0133,Single Family,3.0,2.0,0.0,1446,1994.0,"$287,000",2023-10-08,Active,,,74,0.0,1,No,No,2023-10-08,2023-10-08
PT0375962,LST0375962,AG02625,LOC0134,Single Family,4.0,3.0,1568.0,4574,,522200.0,2025-09-25,Withdrawn,,,153,0.0,1,No,Yes,2025-09-25,2025-09-25
PT0269891,LST0269891,AG00927,LOC0140,Multi-Family,-1.0,4.5,1924.0,1026,1993.0,"$851,900",2026-02-19,Active,,,112,0.0,2,No,Yes,2026-02-19,2026-02-19
PT0364448,LST0364448,AG02497,LOC0165,  Single Family  ,3.0,3.0,,1156,2022.0,574900.0,2024-12-05,Sold,590066.0,2025-01-14,40,0.0,2,No,Yes,2024-12-05,2025-01-14
PT0174398,LST0174398,AG02749,LOC0018,Condo,1.0,,637.0,5451,1935.0,206900.0,2026-06-04,Active,,,34,241.0,2,1,No,2026-06-04,2026-06-04
PT0490612,LST0490612,AG02467,LOC0196,Townhouse,2.0,1.0,2413.0,2125,1953.0,94910,2025-01-31,Pending,,,155,329.0,3,No,No,2025-01-31,2025-01-31
PT0056215,LST0056215,AG01536,LOC0113,Land,0.0,0.0,8620.0,4288,1939.0,2229200.0,2025-12-07,Withdrawn,,,146,0.0,0,0,No,2025-12-07,2025-12-07
PT0048226,LST0048226,AG01909,LOC0154,  Townhouse  ,2.0,2.5,1873.0,6900,1968.0,419200.0,2023-12-02,Active,,,132,236.0,1,No,No,2023-12-02,2023-12-02
PT0407440,LST0407440,AG00074,LOC0128,Multi-Family,6.0,2.5,3770.0,6717,1964.0,588300.0,2023-09-28,Active,,,106,0.0,0,No,Yes,2023-09-28,2023-09-28
PT0350986,LST0350986,AG01275,LOC0138,Condo,1.0,2.0,1790.0,10135,2016.0,204800.0,2023-11-06,Pending,,,108,480.0,2,No,No,2023-11-06,2023-11-06
PT0047075,LST0047075,AG00568,LOC0039,Single-Family,2.0,3.0,1511.0,4616,1922.0,348000.0,2026-03-19,Withdrawn,,,134,0.0,1,No,No,2026-03-19,2026-03-19
PT0130539,LST0130539,AG00945,LOC0022,Single Family,2.0,3.5,2174.0,3439,1946.0,606077,2026-05-04,Pending,,,4,0.0,0,No,Yes,2026-05-04,2026-05-04
PT0170075,LST0170075,AG01661,LOC0083,Single Family,5.0,4.0,2565.0,3797,1925.0,388800.0,2025-03-17,Sold,383980.0,2025-05-14,58,,0,No,Yes,2025-03-17,2025-05-14
PT0042488,LST0042488,AG00734,LOC0014,Single Family,2.0,2.0,1359.0,4049,1912.0,218600.0,2024-10-15,Active,,,61,0.0,0,No,Yes,2024-10-15,2024-10-15
PT0120014,LST0120014,AG01942,LOC0159,Townhouse,4.0,3.5,1147.0,6440,1908.0,179300.0,2023-08-31,Active,,,79,350.0,2,No,No,2023-08-31,2023-08-31
PT0236033,LST0236033,AG00512,LOC0164,Single Family,5.0,4.5,1252.0,2953,1938.0,448900.0,2026-02-07,Active,,,50,0.0,3,No,No,2026-02-07,2026-02-07
PT0454318,LST0454318,AG01353,LOC0038,Single Family,3.0,1.5,2071.0,6443,1971.0,1012600.0,2024-06-02,Active,,,79,0.0,3,No,No,2024-06-02,2024-06-02
PT0427308,LST0427308,AG01716,LOC0120,Townhouse,,4.0,3767.0,2851,2024.0,1781900.0,2023-08-27,Active,,,58,586.0,2,no,No,2023-08-27,2023-08-27
PT0068388,LST0068388,AG01050,LOC0191,Townhouse,4.0,3.5,896.0,11828,1923.0,246200.0,2025-06-12,Active,,,29,422.0,1,No,No,2025-06-12,2025-06-12
PT0313463,LST0313463,AG00873,LOC0154,  Single Family  ,2.0,3.0,1150.0,2060,1918.0,319200.0,2025-01-28,Active,,,92,0.0,3,No,No,2025-01-28,2025-01-28
PT0282669,LST0282669,AG01838,LOC0212,Single Family,3.0,2.5,2349.0,2766,1928.0,1495900.0,2025-03-31,Sold,1616713.0,2025-04-05,5,0.0,1,No,No,2025-03-31,2025-04-05
PT0282707,LST0282707,AG02770,LOC0101,Single Family,3.0,3.5,1788.0,7302,1950.0,"$659,500",2025-02-19,Sold,647288.0,2025-08-02,164,0.0,0,No,No,2025-02-19,2025-08-02
PT0384709,LST0384709,AG02973,LOC0077,Condo,5.0,,2223.0,5795,1980.0,399500.0,2023-01-31,Sold,349156.0,2023-02-26,26,729.0,3,Yes,0,2023-01-31,2023-02-26
PT0152627,LST0152627,AG02148,LOC0195,Townhouse,1.0,2.0,778.0,1480,2013.0,147700.0,2023-05-30,Active,,,12,597.0,1,Yes,No,2023-05-30,2023-05-30
PT0352880,LST0352880,AG02094,LOC0124,Single Family,5.0,3.5,2013.0,1282,1906.0,398000.0,2023-08-25,Active,,,128,0.0,1,No,Yes,2023-08-25,2023-08-25
PT0022068,LST0022068,AG00418,LOC0047,Townhouse,1.0,1.0,1586.0,3889,1998.0,637800.0,2024-06-17,Active,,,146,105.0,1,No,No,2024-06-17,2024-06-17
PT0097941,LST0097941,AG00498,LOC0230,Multi-Family,6.0,3.5,4390.0,1098,1935.0,1636500.0,2023-11-02,Active,,,12,0.0,1,No,No,2023-11-02,2023-11-02
PT0137419,LST0137419,AG00220,LOC0129,Single Family,4.0,2.0,2858.0,3824,2008.0,688200.0,2024-01-20,Active,,,79,0.0,3,0,Yes,2024-01-20,2024-01-20
PT0277387,LST0277387,AG01356,LOC0223,Land,0.0,0.0,5064.0,10158,1900.0,2462300.0,2025-01-19,Sold,2385340.0,2025-07-26,188,0.0,0,No,No,2025-01-19,2025-07-26
PT0493521,LST0493521,AG02342,LOC0031,Single Family,-1.0,4.5,1881.0,1439,1956.0,620900.0,2024-08-16,Sold,607543.0,2024-10-18,63,0.0,0,No,No,2024-08-16,2024-10-18
PT0420727,LST0420727,AG02367,LOC0023,Single-Family,,2.0,2112.0,4585,1905.0,517800.0,2025-03-29,Active,,,97,0.0,1,No,No,2025-03-29,2025-03-29
PT0110226,LST0110226,AG02160,LOC0046,Single Family,2.0,2.0,1321.0,6955,1985.0,340900.0,2023-08-18,Sold,332143.0,2023-10-20,63,0.0,0,No,No,2023-08-18,2023-10-20
PT0191468,LST0191468,AG01242,LOC0112,Townhouse,6.0,4.0,2733.0,3620,2024.0,368600.0,2025-11-11,Sold,357544.0,2026-03-14,123,142.0,2,No,No,2025-11-11,2026-03-14
PT0243260,LST0243260,AG00047,LOC0196,Townhouse,2.0,1.5,951.0,3643,2012.0,"$228,300",2024-05-03,Sold,213264.0,2024-08-24,113,166.0,3,Yes,No,2024-05-03,2024-08-24
PT0245847,LST0245847,AG01540,LOC0187,Multi-Family,1.0,1.5,3081.0,1117,2014.0,1586800.0,2025-11-04,Withdrawn,,,50,0.0,2,No,No,2025-11-04,2025-11-04
PT0017616,LST0017616,AG00093,LOC0026,Townhouse,6.0,3.5,2375.0,6896,1931.0,613000.0,2024-08-26,Active,,,87,189.0,3,Yes,No,2024-08-26,2024-08-26
PT0408609,LST0408609,AG01658,LOC0003,Condo,6.0,4.5,1996.0,3785,1995.0,333400.0,2023-06-13,Active,,,64,593.0,3,No,No,2023-06-13,2023-06-13
PT0399970,LST0399970,AG02205,LOC0204,SINGLE FAMILY,2.0,4.0,1249.0,4631,2000.0,701200.0,2024-03-10,Sold,661517.0,2024-07-24,136,0.0,1,Yes,Yes,2024-03-10,2024-07-24
PT0279713,LST0279713,AG02961,LOC0116,Townhouse,4.0,2.5,1616.0,4884,1961.0,778900.0,2026-05-26,Sold,792439.0,2026-09-12,109,359.0,3,No,False,2026-05-26,2026-09-12
PT0118082,LST0118082,AG02683,LOC0158,Single Family,5.0,2.5,1350.0,4086,1998.0,720300.0,2025-02-12,Active,,,111,0.0,2,No,Yes,2025-02-12,2025-02-12
PT0170350,LST0170350,AG01526,LOC0024,Single Family,3.0,3.0,2072.0,2416,1990.0,589500.0,2023-07-23,Sold,569319.0,2023-10-11,80,0.0,3,No,Yes,2023-07-23,2023-10-11
PT0469906,LST0469906,AG00301,LOC0075,Single Family,5.0,4.5,733.0,15517,1900.0,111500.0,2025-12-28,Withdrawn,,,144,0.0,1,No,No,2025-12-28,2025-12-28
PT0160391,LST0160391,AG01109,LOC0031,Single Family,2.0,1.0,2275.0,1693,2013.0,312400.0,2024-12-06,Withdrawn,,,159,,1,yes,Yes,2024-12-06,2024-12-06
PT0350900,LST0350900,AG00315,LOC0010,Condo,1.0,1.5,2282.0,1962,1993.0,657500.0,2025-04-12,Pending,,,25,397.0,0,No,No,2025-04-12,2025-04-12
PT0406038,LST0406038,AG00986,LOC0147,Single Family,5.0,2.5,2396.0,5546,1963.0,380000.0,2023-07-02,Sold,360507.0,2024-01-05,187,0.0,3,Yes,No,2023-07-02,2024-01-05
PT0238190,LST0238190,AG01954,LOC0207,Condo,3.0,2.5,1259.0,1728,1970.0,94400.0,2023-04-29,Sold,91709.0,2023-09-14,138,365.0,0,Yes,No,2023-04-29,2023-09-14
PT0316932,LST0316932,AG02265,LOC0042,Single Family,2.0,4.0,1340.0,4210,1923.0,366500.0,2024-04-23,Withdrawn,,,34,0.0,2,Yes,Yes,2024-04-23,2024-04-23
PT0291796,LST0291796,AG00444,LOC0023,Single Family,4.0,4.5,2241.0,10087,1941.0,436600.0,2025-01-28,Active,,,99,0.0,2,No,Yes,2025-01-28,2025-01-28
PT0310827,LST0310827,AG01724,LOC0217,Single Family,6.0,3.0,2095.0,2506,1982.0,304700.0,2026-05-03,Active,,,13,0.0,1,Yes,False,2026-05-03,2026-05-03
PT0325315,LST0325315,AG01775,LOC0148,Apartment,5.0,2.5,1186.0,0,1949.0,375300.0,03/03/2026,Sold,345003.0,2026-08-14,164,266.0,2,Yes,N,2026-03-03,2026-08-14
PT0366700,LST0366700,AG00939,LOC0232,Single Family,1.0,3.0,,3920,1971.0,578700.0,2025-08-03,Withdrawn,,,71,0.0,3,0,Yes,2025-08-03,2025-08-03
PT0406764,LST0406764,AG01816,LOC0074,Single Family,-1.0,,1953.0,3055,2016.0,916000.0,2023-06-24,Active,,,144,0.0,3,No,No,2023-06-24,2023-06-24
PT0105747,LST0105747,AG00064,LOC0219,  Apartment  ,2.0,2.0,276.0,0,1991.0,78700.0,2023-12-13,Sold,78039.0,2024-02-22,71,179.0,0,No,No,2023-12-13,2024-02-22
PT0092889,LST0092889,AG02776,LOC0212,Townhouse,5.0,2.5,1825.0,3976,1905.0,861500.0,2026-03-27,Active,,,44,735.0,0,No,No,2026-03-27,2026-03-27
PT0083768,LST0083768,AG01680,LOC0246,Condo,6.0,4.0,1432.0,10413,1908.0,280600.0,2026-03-10,Active,,,174,505.0,2,No,No,2026-03-10,2026-03-10
PT0492864,LST0492864,AG02072,LOC0160,Single Family,2.0,4.0,1785.0,6813,2021.0,530099,2024-04-29,Active,,,7,0.0,1,No,Yes,2024-04-29,2024-04-29
PT0332575,LST0332575,AG02950,LOC0237,Land,0.0,0.0,3580.0,1566,1963.0,881400.0,2025-03-13,Sold,824707.0,2025-04-24,42,0.0,0,No,No,2025-03-13,2025-04-24
PT0108491,LST0108491,AG00508,LOC0247,Single Family,,1.0,902.0,2563,1910.0,227100.0,2023-07-21,Pending,,,12,0.0,0,No,No,2023-07-21,2023-07-21
PT0357850,LST0357850,AG00896,LOC0174,Condo,5.0,1.0,1054.0,2575,1997.0,321300.0,2024-09-13,Active,,,57,355.0,0,N,No,2024-09-13,2024-09-13
PT0032360,LST0032360,AG02330,LOC0075,Townhouse,5.0,1.0,2725.0,11787,2004.0,199900.0,2025-11-23,Sold,189325.0,2026-01-04,42,116.0,2,No,No,2025-11-23,2026-01-04
PT0209702,LST0209702,AG01089,LOC0178,SFH,4.0,1.0,1609.0,2161,1977.0,217100.0,2025-09-17,Sold,226123.0,2025-12-21,95,0.0,2,No,No,2025-09-17,2025-12-21
PT0400048,LST0400048,AG01499,LOC0001,Apartment,3.0,1.0,1349.0,0,1968.0,179200.0,2023-12-08,Active,,,133,788.0,2,No,No,2023-12-08,2023-12-08
PT0450677,LST0450677,AG01307,LOC0169,Single Family,5.0,4.5,1366.0,5166,1941.0,519400.0,2025-09-03,Withdrawn,,,24,0.0,3,No,Yes,2025-09-03,2025-09-03
PT0437740,LST0437740,AG01289,LOC0102,Single Family,1.0,1.5,1271.0,8774,2008.0,344100.0,2023-02-05,Pending,,,0,0.0,1,0,Yes,2023-02-05,2023-02-05
PT0235764,LST0235764,AG00872,LOC0086,Townhouse,6.0,2.0,1913.0,1261,1933.0,245600.0,2025-09-30,Active,,,35,253.0,0,No,No,2025-09-30,2025-09-30
PT0047375,LST0047375,AG01141,LOC0015,Single Family,4.0,2.5,889.0,3234,1943.0,149100.0,2026-02-08,Withdrawn,,,15,0.0,3,Yes,No,2026-02-08,2026-02-08
PT0260566,LST0260566,AG99999,LOC0084,Single Family,4.0,3.0,801.0,10474,1997.0,317413,2023-12-05,Sold,,,148,0.0,2,No,Yes,2023-12-05,2023-12-05
PT0189239,LST0189239,AG02457,LOC0066,Townhouse,6.0,3.0,2464.0,7177,2007.0,983300.0,2024-01-21,Active,,,26,529.0,2,No,No,2024-01-21,2024-01-21
PT0424161,LST0424161,AG02132,LOC0038,Condo,2.0,4.5,1540.0,2295,1992.0,568500.0,2024-10-06,Sold,567597.0,2024-11-28,53,213.0,2,No,No,2024-10-06,2024-11-28
PT0077420,LST0077420,AG01945,LOC0003,Apartment,3.0,3.0,1337.0,0,2004.0,243200.0,2025-04-26,Sold,235862.0,2025-07-09,74,99.0,3,No,No,2025-04-26,2025-07-09
PT0323057,LST0323057,AG01231,LOC0222,Multi-Family,5.0,4.0,3732.0,6315,1977.0,"$1,384,500",2023-01-30,Sold,1326578.0,2023-05-02,92,,1,False,No,2023-01-30,2023-05-02
PT0125652,LST0125652,AG01445,LOC0184,Single Family,6.0,4.5,1704.0,24145,1962.0,596400.0,2023-05-21,Sold,631148.0,2023-10-21,153,0.0,1,No,Yes,2023-05-21,2023-10-21
PT0388920,LST0388920,AG02397,LOC0106,Townhouse,4.0,2.5,1793.0,3955,2022.0,1122900.0,2024-05-24,Sold,1063725.0,2024-11-12,172,608.0,3,No,No,2024-05-24,2024-11-12
PT0146753,LST0146753,AG00350,LOC0147,Condo,4.0,1.5,1765.0,3972,1959.0,229100.0,2024-01-14,Sold,221127.0,2024-04-02,79,175.0,0,No,No,2024-01-14,2024-04-02
PT0061595,LST0061595,AG02171,LOC0037,Condo,3.0,1.0,,11629,1920.0,689700.0,2023-12-16,Sold,741682.0,2024-02-01,47,168.0,3,Yes,No,2023-12-16,2024-02-01
PT0132092,LST0132092,AG02700,LOC0094,Apartment,1.0,3.5,1253.0,0,2012.0,221100.0,2025-05-13,Sold,221278.0,2025-11-02,173,377.0,2,No,No,2025-05-13,2025-11-02
PT0021268,LST0021268,AG02831,LOC0042,Single Family,,2.5,1907.0,1418,1938.0,501800.0,2025-05-19,Active,,,147,0.0,1,No,Yes,2025-05-19,2025-05-19
PT0179430,LST0179430,AG00100,LOC0220,Multi-Family,2.0,3.0,1769.0,2631,2013.0,705900.0,2024-10-02,Sold,686856.0,2024-10-21,19,0.0,2,No,N,2024-10-02,2024-10-21
PT0095263,LST0095263,AG02305,LOC0050,Single Family,3.0,4.0,2588.0,6060,1907.0,561000.0,2025-02-28,Sold,575614.0,2025-09-02,186,0.0,1,No,Yes,2025-02-28,2025-09-02
PT0043989,LST0043989,AG00464,LOC0144,Townhouse,1.0,1.5,936.0,3034,2011.0,187800.0,2026-06-07,Pending,,,7,478.0,2,No,No,2026-06-07,2026-06-07
PT0301862,LST0301862,AG01569,LOC0236,Townhouse,3.0,1.5,879.0,7226,2022.0,137500.0,2025-08-03,Withdrawn,,,143,545.0,2,No,No,2025-08-03,2025-08-03
PT0366222,LST0366222,AG00497,LOC0048,Condo,1.0,1.5,3061.0,17029,1901.0,689400.0,2025-05-15,Sold,626466.0,2025-06-27,43,307.0,0,Yes,No,2025-05-15,2025-06-27
PT0247832,LST0247832,AG00927,LOC0100,Single Family,2.0,4.5,1649.0,4503,2024.0,46800.0,2025-01-18,Sold,46708.0,2025-01-31,13,0.0,3,No,No,2025-01-18,2025-01-31
PT0407401,LST0407401,AG02001,LOC0206,Single Family,2.0,4.0,1827.0,7165,1965.0,642700.0,2025-04-25,Active,,,107,0.0,1,N,No,2025-04-25,2025-04-25
PT0022165,LST0022165,AG00120,LOC0039,Townhouse,2.0,4.0,1044.0,6333,1901.0,161800.0,2023-05-27,Sold,155011.0,2023-10-01,127,376.0,0,No,No,2023-05-27,2023-10-01
PT0307266,LST0307266,,LOC0222,CONDO,3.0,3.5,2060.0,16002,1925.0,581100.0,2023-06-07,Pending,,,154,294.0,2,No,No,2023-06-07,2023-06-07
PT0072341,LST0072341,AG01288,LOC0094,Single Family,4.0,1.0,1334.0,1521,1982.0,276200.0,2025-11-07,Active,,,40,0.0,1,No,False,2025-11-07,2025-11-07
PT0197305,LST0197305,AG01675,LOC0041,Townhouse,1.0,1.0,2338.0,2858,1982.0,343800.0,2024-04-05,Sold,300190.0,2024-05-01,26,116.0,1,No,No,2024-04-05,2024-05-01
PT0251392,LST0251392,AG00542,LOC0206,Townhouse,5.0,4.0,300.0,5487,2003.0,73000.0,2023-10-13,Active,,,45,191.0,3,No,No,2023-10-13,2023-10-13
PT0160360,LST0160360,AG02826,LOC0109,Single Family,1.0,2.0,1803.0,2246,1974.0,781700.0,2023-12-04,Sold,769848.0,2024-05-29,177,0.0,2,No,No,2023-12-04,2024-05-29
PT0132604,LST0132604,AG02159,LOC0246,Single Family,2.0,3.5,690.0,4460,,"$151,600",2024-09-23,Sold,155013.0,2025-01-15,114,0.0,1,No,1,2024-09-23,2025-01-15
PT0377556,LST0377556,AG00192,LOC0180,Single Family,5.0,4.0,2872.0,1935,1902.0,326300.0,2023-12-16,Sold,299566.0,2024-06-23,190,0.0,0,No,No,2023-12-16,2024-06-23
PT0239612,LST0239612,AG00378,LOC0084,Townhouse,2.0,2.0,2092.0,4628,1963.0,581900.0,2025-08-09,Active,,,147,697.0,1,No,No,2025-08-09,2025-08-09
PT0371995,LST0371995,AG01757,LOC0043,Single Family,2.0,4.0,707.0,1649,1973.0,471958,2024-03-14,Pending,,,48,0.0,0,No,Yes,2024-03-14,2024-03-14
PT0108746,LST0108746,AG01996,LOC0099,Single Family,6.0,1.5,1688.0,1840,2010.0,"$766,600",07/14/2023,Active,,,22,0.0,1,Yes,No,2023-07-14,2023-07-14
PT0016151,LST0016151,,LOC0062,Single Family,5.0,3.5,,5549,1943.0,516400.0,2024-06-23,Active,,,161,0.0,1,No,No,2024-06-23,2024-06-23
PT0329700,LST0329700,AG00011,LOC0049,Townhouse,1.0,3.0,1613.0,8764,1962.0,370700.0,2023-05-13,Sold,357822.0,2023-10-15,155,369.0,1,No,0,2023-05-13,2023-10-15
PT0127773,LST0127773,AG02834,LOC0242,Condo,2.0,1.0,1692.0,8897,1978.0,313900.0,2023-06-18,Sold,302115.0,2023-12-19,184,103.0,1,No,No,2023-06-18,2023-12-19
PT0326180,LST0326180,AG01346,LOC0177,Land,0.0,0.0,5095.0,12713,1927.0,2274600.0,2023-01-16,Active,,,52,0.0,0,No,No,2023-01-16,2023-01-16
PT0345233,LST0345233,AG00946,LOC0086,Multi-Family,1.0,3.5,3066.0,3376,1996.0,"$446,200",2023-11-17,Sold,434787.0,2024-05-27,192,0.0,3,No,1,2023-11-17,2024-05-27
PT0418648,LST0418648,AG00125,LOC0022,  Apartment  ,2.0,4.5,1517.0,0,1953.0,449200.0,2025-06-16,Withdrawn,,,91,669.0,3,Yes,No,2025-06-16,2025-06-16
PT0012543,LST0012543,AG02070,LOC0225,Condo,2.0,2.5,2238.0,8715,1975.0,"$681,100",2023-11-09,Active,,,90,795.0,0,No,No,2023-11-09,2023-11-09
PT0125448,LST0125448,AG01188,LOC0137,SFH,6.0,1.0,2760.0,2497,1934.0,655400.0,2023-07-14,Sold,637512.0,2023-10-06,84,0.0,3,No,No,2023-07-14,2023-10-06
PT0135860,LST0135860,AG00270,LOC0104,Land,0.0,0.0,6208.0,1988,1973.0,970300.0,2024-04-09,Sold,920715.0,2024-06-25,77,0.0,0,No,No,2024-04-09,2024-06-25
PT0205683,LST0205683,AG02614,LOC0137,Single Family,6.0,1.5,1614.0,7589,1921.0,728300.0,2025-08-02,Sold,748417.0,2026-01-05,156,0.0,2,No,1,2025-08-02,2026-01-05
PT0321167,LST0321167,AG01123,LOC0091,Single Family,3.0,2.5,2038.0,2137,1901.0,371600.0,03/27/2026,Active,,,60,0.0,0,No,No,2026-03-27,2026-03-27
PT0029821,LST0029821,AG00727,LOC0239,Townhouse,5.0,4.5,,12287,1906.0,104700.0,2025-10-31,Active,,,145,756.0,2,No,No,2025-10-31,2025-10-31
PT0471561,LST0471561,AG00675,LOC0220,Condo,1.0,3.5,1821.0,1579,,,2024-08-27,Sold,609483.0,2025-01-26,152,484.0,3,Yes,No,2024-08-27,2025-01-26
PT0318948,LST0318948,AG01576,LOC0006,Multi-Family,5.0,1.5,3188.0,9406,1931.0,"$459,700",2026-03-28,Sold,472118.0,2026-10-06,192,0.0,0,No,No,2026-03-28,2026-10-06
PT0185570,LST0185570,AG01416,LOC0058,Multi-Family,3.0,1.5,2689.0,2091,1979.0,967700.0,2024-01-22,Active,,,48,0.0,3,No,Yes,2024-01-22,2024-01-22
PT0208878,LST0208878,AG01684,LOC0188,Apartment,6.0,1.0,1071.0,0,1924.0,247973,2024-10-31,Active,,,53,243.0,1,Yes,No,2024-10-31,2024-10-31
PT0421728,LST0421728,AG00402,LOC0179,Single Family,3.0,1.0,1089.0,7316,2099.0,"$218,100",2023-04-04,Sold,214495.0,2023-09-20,169,0.0,1,Yes,Yes,2023-04-04,2023-09-20
PT0291296,LST0291296,AG01594,LOC0101,Condo,1.0,4.5,2148.0,3177,1988.0,1062700.0,2023-12-05,Active,,,175,393.0,2,No,No,2023-12-05,2023-12-05
PT0173459,LST0173459,AG00290,LOC0164,Apartment,1.0,3.0,1280.0,0,1994.0,184700.0,2025-01-18,Sold,182725.0,2025-07-08,171,,3,No,No,2025-01-18,2025-07-08
PT0415832,LST0415832,AG02514,LOC0084,Condo,3.0,4.0,1927.0,2421,1947.0,821400.0,2024-04-07,Active,,,130,119.0,2,Yes,False,2024-04-07,2024-04-07
PT0272471,LST0272471,AG02757,LOC0239,Single Family,2.0,1.5,1017.0,1025,1931.0,219800.0,2025-02-20,Pending,,,47,0.0,1,Yes,No,2025-02-20,2025-02-20
PT0229495,LST0229495,AG02915,LOC0041,Townhouse,2.0,4.5,497.0,1812,2016.0,102200.0,2023-01-04,Sold,93147.0,2023-01-13,9,496.0,0,Yes,No,2023-01-04,2023-01-13
PT0357551,LST0357551,AG01465,LOC0086,Single Family,2.0,3.0,1324.0,1092,1959.0,227700.0,2024-02-02,Sold,246377.0,2024-02-10,8,0.0,2,No,No,2024-02-02,2024-02-10
PT0272800,LST0272800,AG02403,LOC0192,Single Family,3.0,4.0,1353.0,1492,1906.0,605100.0,2023-03-29,Sold,558908.0,2023-06-25,88,0.0,0,No,Yes,2023-03-29,2023-06-25
PT0005123,LST0005123,AG00410,LOC0028,Condominium,4.0,2.0,1797.0,3207,1964.0,190500.0,13-Feb-2023,Sold,186650.0,2023-05-10,86,189.0,1,No,No,2023-02-13,2023-05-10
PT0063359,LST0063359,AG01684,LOC0087,Multi-Family,2.0,3.0,1979.0,2161,1982.0,,2025-12-26,Sold,778950.0,2026-03-21,85,,2,No,No,2025-12-26,2026-03-21
PT0347143,LST0347143,AG01709,LOC0169,Single-Family,2.0,2.5,1231.0,14095,1959.0,614800.0,2026-03-29,Sold,622580.0,2026-07-10,103,0.0,0,No,Yes,2026-03-29,2026-07-10
